Billie Jean,Michael Jackson
Let It Be,The Beatles
Thriller,Michael Jackson
Thinking Out Loud,Ed Sheeran
Bohemian Rhapsody,Queen
Imagine,John Lennon
Sweet Child O' Mine,Guns N' Roses
Smells Like Teen Spirit,Nirvana
Hotel California,Eagles
Shape of You,Ed Sheeran
Rolling in the Deep,Adele
Stairway to Heaven,Led Zeppelin
Hey Jude,The Beatles
Like a Rolling Stone,Bob Dylan
Break Stuff,Limp Bizkit
Chop Suey!,System of a Down
Nookie,Limp Bizkit
Freak on a Leash,Korn
Crawling,Linkin Park
In the End,Linkin Park
Last Resort,Papa Roach
Numb,Linkin Park